so,source_file,customer,customer_street_address,customer_city,customer_state,customer_zip,order_date,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,fuel_brand,store_brand,store_id,site_id,site_address,site_city,site_state,state,site_zip,service_requested,service_date,technician,new_install/90_days,system,equipment_replacement,reason_for_order,equipment_category,impact_to_site,interface,firmware,last_service_date,min_temp_F,max_temp_F,avg_temp_F,precipitation_inches,humidity_precentag,snowfall_inches,windspeed_mph,sunshine_hours
32116,"SO#32116 Down Energy - Riverside, CA - FMD6SEP-GSW-GSG_PVSP82-UMPD-1_PVSPS42-UMPD3-2.xlsx",Donco & Son,2871 E. Blue Star Street,Anaheim,CA,92806,4/5/2023,Donco & Son,2871 E. Blue Star Street,Anaheim,CA,92806,Downs Energy,,,,1673 Columbia Ave.,Riverside,CA,California,,FALSE,,,,,,,,,PVCU-RF,,7/5/2025,75,95,85,5,78.3,0,9.7,9.2
32117,"SO#32117 Chevron #TBD Baker, CA FMD16CSS3-GSW-C1-C2_PVSPS42-UMPD-2.xlsx",Donco & Sons Inc.,2871 E. Blue Star Street,Anaheim,CA,92806,4/5/2023,Donco & Sons Inc.,2871 E. Blue Star Street,Anaheim,CA,92806,Chevron,,,,72083 Baker Blvd.,Baker,CA,California,92309,TRUE,10/22/2024,Donco,0,SMD2,Same,Bag Order - Missing information,Display,Panel Out,PVCU-RF,3.04,10/22/2024,61.5,81.5,71.5,1.6,58.8,0,6.2,7.1
32118,"SO#32118 Edgewood Mart Citgo #19431054 Danville, VA FMD36SEP3-GSR_PVSPS22-U-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,4/4/2023,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,Edgewood Mart,,19431054,1501 W. Main Street,Danville,VA,Virginia,24541,FALSE,,,,,,,,,PVCU-POS-VFON,3.04,7/5/2025,70,90,80,4.1,72.9,0,8.6,8.7
32120,SO#32120 Site TBD FMD16SEN3A-GSW_PVSPS42-UP-1.xlsx,Rapp Signs,3979 NY State RT 206,Greene,NY,13778,4/10/2023,Rapp Signs,3979 NY State RT 206,Greene,NY,13778,,,,,,,,Unknown,,TRUE,10/16/2023,Rapp Signs,0,SMD2,Same,Bag Order - Missing information,Communication,Site Down,PVCU-RF,3.04,10/16/2023,,,,,,,,
32123,"SO#32123 G & M Oil TEST EQUIPMENT - Huntington Beach, CAFMD6CTS3-GSW-C1-C2-C3_FMD6SEP-GSW_PVSPS41-HI1-3.xlsx",,,,,,4/12/2023,,,,,,G & M Oil Company,,,Lab,,,,Unknown,,TRUE,8/15/2023,G & M Oil,0,SMD2,Same,Test Site,Metal Swap,Other,PVCU-POS-KIT,3.04,8/15/2023,,,,,,,,
32124,"SO#32124 Safeway #1757 Hollister, CA FMD8SEN-GSR-GSG_PVSPS82X62-UPD-CH-2.xlsx",YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,4/12/2023,YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,Safeway,,,1757,591 Tres Pinos Rd.,Hollister,CA,California,95023,TRUE,8/8/2023,YESCO,0,SMD2,Same,Part Failure,Communication,Site Down,PVCU-RF,3.04,8/8/2023,75,95,85,4.1,81.9,0,11.7,11.4
32124,"SO#32124 Safeway #1757 Hollister, CA FMD8SEN-GSR-GSG_PVSPS82X62-UPD-CH-2.xlsx",YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,4/12/2023,YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,Safeway,,,1757,591 Tres Pinos Rd.,Hollister,CA,California,95023,TRUE,9/25/2023,YESCO,0,SMD2,Same,Part Failure,Communication,Panel Out,PVCU-RF,3.04,9/25/2023,61.5,81.5,71.5,3.3,61.6,0,8.5,4.4
32124,"SO#32124 Safeway #1757 Hollister, CA FMD8SEN-GSR-GSG_PVSPS82X62-UPD-CH-2.xlsx",YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,4/12/2023,YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,Safeway,,,1757,591 Tres Pinos Rd.,Hollister,CA,California,95023,TRUE,10/26/2023,YESCO,0,SMD2,Same,Part Failure,Communication,Site Down,PVCU-RF,3.04,10/26/2023,61.5,81.5,71.5,1.6,58.8,0,6.2,7.1
32124,"SO#32124 Safeway #1757 Hollister, CA FMD8SEN-GSR-GSG_PVSPS82X62-UPD-CH-2.xlsx",YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,4/12/2023,YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,Safeway,,,1757,591 Tres Pinos Rd.,Hollister,CA,California,95023,TRUE,11/15/2023,YESCO,0,SMD2,Same,Part Failure,Communication,Other,PVCU-RF,3.04,11/15/2023,61.5,81.5,71.5,1.9,41.1,0,6.5,6
32124,"SO#32124 Safeway #1757 Hollister, CA FMD8SEN-GSR-GSG_PVSPS82X62-UPD-CH-2.xlsx",YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,4/12/2023,YESCO - Phoenix,6725 West Chicago St,Chandler,AZ,85226,Safeway,,,1757,591 Tres Pinos Rd.,Hollister,CA,California,95023,TRUE,4/1/2024,YESCO,0,SMD2,Same,Part Failure,Communication,Site Down,PVCU-RF,3.04,4/1/2024,57,77,67,4.8,42.1,0,10.5,5.5
